id ht circ
1279 18.5 41
1280 20 46
1281 19 42
1282 18 40
1283 20.25 48
1284 17.5 36
1285 17.5 39
1286 19.25 42
1287 13 26
1288 23.5 49
1290 21.75 45
1291 24.5 52
1292 23.75 47
1293 22.75 46
1294 25.5 58
1295 23.75 52
1296 23.75 51
1297 22 49
1298 17 34
1299 22.25 60
1300 20 39
1302 23.25 58
1304 22.5 62
1305 21.25 51
1306 16.75 33
1307 22.75 54
1308 22 47
1309 17.75 34
1310 21 45
1311 21.25 46
1312 20.25 43
1313 22.25 50
1314 20.75 45
1315 24.75 60
1316 23.75 58
1318 23.25 61
1319 20.5 45
1320 22.75 54
1321 24.25 60
1323 21.75 57
1324 25.25 56
1325 24.25 58
1326 17.75 42
1327 24.25 59
1328 21.75 52
1329 24.25 60
1330 23 55
1331 22.75 54
1332 25.25 65
1333 23.75 57
1334 24.75 59
1335 23 55
1336 24.5 57
1337 22.75 45
1338 22.25 48
1339 25.25 66
1340 23.75 56
1341 24.25 63
1346 22.75 63
1348 22.25 59
1351 24.5 64
1353 21.25 45
1354 21.25 43
1355 20.5 38
1356 22 53
1357 20.75 53
1358 21.5 55
1359 20.5 48
1360 20.5 50
1361 19.75 49
1362 19.5 49
1363 21.75 45
1364 19.75 47
1365 18 37
1366 20 46
1367 20 51
1368 19 45
1369 17.75 36
1371 19.5 45
1372 17.25 36
1374 18.75 41
1375 20.75 51
1377 19 43
1378 20.75 35
1379 22 38
1380 16.75 29
1381 17.5 29
1382 21.25 39
1383 15.25 27
1384 21.25 39
1385 21.75 40
1386 18.25 32
1387 22.5 38
1388 14 28
1390 21.5 41
1391 23.25 44
1394 23.75 46
1395 18 34
1396 23.75 59
1397 24.75 59
1398 19.5 41
1399 22.25 52
1400 24.25 55
1401 21 43
1402 21.5 49
1403 23.75 54
1404 22.75 50
1405 21.75 47
1406 21.75 43
1407 22.25 46
1408 23.5 52
1409 23.25 48
1410 22.5 43
1411 23.5 55
1412 25.5 61
1413 23.75 49
1414 20.75 44
1416 20.25 37
1420 21.25 48
1421 24.75 62
1422 19.25 40
1423 20 40
1424 19.5 40
1425 22.25 53
1426 19.75 43
1427 19.25 37
1429 21.75 49
1430 22.75 54
1431 20.25 44
1432 20.5 34
1433 21.25 42
1434 21.75 44
1435 21.5 43
1436 20.25 39
1437 22.25 46
1438 19.25 41
1439 22.25 50
1440 20.75 39
1441 18.25 33
1442 22.75 53
1443 21.25 43
1444 20 51
1445 24.25 53
1446 22.5 46
1447 22.75 48
1448 24.25 56
1449 23.75 52
1450 22.5 49
1451 21.75 46
1452 22 43
1453 22.5 46
1454 23.25 50
1455 21.5 41
1456 23 52
1457 21.25 42
1458 21 42
1460 22.75 52
1461 21.75 51
1462 22.75 55
1463 21 42
1464 21.75 46
1465 23.25 53
1466 23 55
1467 22.25 51
1468 21.25 48
1469 24 57
1470 15.75 31
1471 15.75 33
1472 23.75 57
1473 21.25 46
1474 23.75 58
1475 25.5 62
1476 17 31
1477 21.5 48
1478 21.75 44
1479 25.25 57
1480 24.75 57
1481 22.75 47
1482 24.25 53
1483 24.25 55
1484 23 46
1485 25.25 55
1486 25.25 62
1487 24.75 60
1488 24.75 63
1489 25.25 61
1491 20.75 47
1492 25.75 63
1493 23.25 55
1495 23.75 60
1496 27 72
1497 17.75 37
1498 25.75 67
1499 16.25 32
1500 26.75 73
1501 24.25 63
1502 27.75 77
1503 12.5 27
1504 19.75 35
1505 25.75 55
1506 24.25 45
1507 25.5 58
1508 22.25 43
1509 24.75 55
1510 26 59
1512 25.5 59
1513 21.75 48
1514 21.75 48
1515 23.25 56
1517 23.25 57
1519 21.5 46
1520 22.25 52
1521 22.75 54
1522 24.25 57
1523 22.25 44
1524 23 51
1525 23.25 57
1526 23.25 53
1527 24.25 59
1528 24.25 61
1529 24.25 59
1530 15 30
1531 25.25 64
1532 25.5 59
1533 25.25 66
1534 24.25 56
1535 22.5 47
1536 25 60
1537 25.25 62
1538 24.25 59
1539 24.25 58
1540 21.75 49
1541 24 56
1542 22.75 51
1543 20 46
1544 23.25 53
1545 16.5 33
1546 21 41
1547 23.75 54
1548 22 46
1549 25 64
1550 24.75 57
1551 24.75 57
1553 25.25 62
1554 14.25 26
1556 25 61
1557 25.25 65
1558 23.75 57
1559 23.25 53
1560 22.75 54
1561 22.25 52
1562 23 53
1563 22.75 47
1564 24.25 58
1565 24.25 60
1566 22.5 47
1567 26.5 64
1568 17.5 34
1569 25.75 53
1570 24.25 52
1571 24.5 50
1572 24.25 56
1573 25 60
1574 19.5 38
1575 24.75 60
1579 18.5 42
1585 16.75 31
1586 22 48
1587 19.25 43
1588 21.5 49
1589 18.75 37
1590 17.75 40
1591 21 49
1592 19.25 39
1595 20.75 47
1596 20 44
1597 19.5 37
1598 20.75 46
1599 20 44
1600 21.25 46
1601 20.5 44
1602 20.5 45
1603 21.75 49
1604 21.25 47
1605 21.75 49
1606 22 52
1607 23.75 62
1608 22.25 52
1610 21.5 49
1611 17.25 38
1612 20 44
1613 16.25 35
1614 19.75 44
1615 19.75 38
1617 18.25 39
1619 20.5 45
1620 20.25 48
1621 23.25 57
1622 21.5 52
1623 22.75 53
1624 22.75 54
1626 22.75 53
1628 21.75 54
1629 22.25 53
1630 21.75 40
1631 21.25 43
1633 22.75 44
1635 17 33
1636 23.25 49
1637 22.5 43
1638 23.5 52
1639 20.5 42
1640 22 46
1641 21.5 42
1642 22.25 45
1643 21.75 42
1644 23 48
1645 22.25 45
1646 22.25 49
1647 22.75 48
1648 18.5 43
1650 18.25 40
1651 21 52
1653 18.75 39
1654 21.75 53
1655 23 53
1657 21.75 48
1658 20.75 42
1659 20.75 44
1660 22 46
1662 21.75 50
1663 20.25 44
1664 17 34
1665 20.75 43
1666 22.25 49
1667 21.25 44
1668 23 56
1669 22.5 50
1670 21.25 46
1671 21.75 48
1672 22.75 50
1673 20 39
1674 22.25 49
1675 18.75 43
1676 18.5 44
1677 18.25 45
1678 18.25 44
1679 20.5 39
1680 18 43
1681 20.75 48
1682 18.75 38
1683 19 45
1684 20.25 48
1685 22.5 53
1687 19 42
1688 21 52
1690 20.75 48
1691 22 57
1692 18.25 39
1702 20.5 43
1703 23 60
1704 23.75 57
1705 22.5 54
1706 22.25 50
1707 23 55
1708 23.75 55
1709 16.75 34
1710 24.75 65
1711 22.25 52
1712 22.25 51
1713 22.75 53
1714 21.75 51
1715 22 49
1716 22 46
1717 22 52
1718 23.25 55
1719 22.75 50
1720 22.25 52
1721 22.75 59
1722 22.75 57
1723 21.5 40
1724 22.75 54
1725 21.25 46
1726 22.75 46
1727 22.5 54
1728 22.25 52
1729 21.25 51
1730 20.25 52
1732 16.5 37
1733 17 41
1735 20.25 50
1736 20.25 37
1737 19.75 40
